# Student: 2110201
# Program: BSEEE
course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,A-,Fall2021
ENG103,Intermediate Composition,3,B+,Fall2021
ENG111,Public Speaking,3,B,Spring2022
BAN205,Bangla Language,3,A,Spring2022
PHI104,Introduction to Ethics,3,B+,Fall2021
HIS102,Introduction to World Civilization,3,B,Spring2022
HIS103,Emergence of Bangladesh,3,A-,Fall2021
ECO101,Microeconomics,3,B,Fall2021
POL101,Political Science,3,C+,Spring2022
SOC101,Sociology,3,B-,Fall2022
PHY107,Physics I,4,B+,Fall2021
PHY108,Physics II,4,B,Spring2022
CHE101,Chemistry I,4,C+,Fall2022
MAT116,Pre-Calculus,0,A,Fall2021
MAT120,Calculus I,3,B+,Fall2021
MAT130,Calculus II,3,B,Spring2022
MAT250,Calculus III,3,B-,Fall2022
MAT125,Linear Algebra,3,B,Spring2022
MAT350,Engineering Mathematics,3,C,Fall2023
MAT361,Probability and Statistics,3,C+,Spring2023
EEE452,Engineering Economics,3,B-,Spring2023
CEE110,Engineering Drawing,1,A,Fall2021
CSE115,Programming Language I,3,A,Fall2021
CSE115L,Programming Language I Lab,1,A,Fall2021
EEE141,Electrical Circuits I,3,B,Spring2022
EEE141L,Electrical Circuits I Lab,1,B,Spring2022
EEE111,Analog Electronics I,3,C+,Fall2022
EEE111L,Analog Electronics I Lab,1,B-,Fall2022
EEE211,Digital Logic Design,3,B+,Fall2022
EEE211L,Digital Logic Design Lab,0,B+,Fall2022
EEE241,Electrical Circuits II,3,B,Spring2023
EEE241L,Electrical Circuits II Lab,1,B,Spring2023
EEE221,Signals and Systems,3,B-,Fall2023
EEE311,Analog Electronics II,3,C+,Fall2023
EEE311L,Analog Electronics II Lab,1,B,Fall2023
EEE361,Electromagnetic Fields and Waves,3,C,Fall2023
EEE312,Power Electronics,3,B,Spring2024
EEE312L,Power Electronics Lab,0,B+,Spring2024
EEE321,Communication Systems,3,B+,Spring2024
EEE321L,Communication Systems Lab,0,A-,Spring2024
EEE342,Control Engineering,3,B,Fall2024
EEE342L,Control Engineering Lab,1,B+,Fall2024
EEE362,Power Systems,3,B-,Fall2024
EEE362L,Power Systems Lab,0,B,Fall2024
EEE363,Electrical Machines,3,C+,Spring2025
EEE363L,Electrical Machines Lab,1,B,Spring2025
EEE299,Junior Design Project I,1,A,Spring2023
EEE499A,Senior Design Project I,1.5,A,Fall2024
EEE499B,Senior Design Project II,1.5,A-,Spring2025
EEE461,Power System Engineering,3,B+,Fall2024
EEE462,Power System Engineering II,3,B,Spring2025
EEE422,Communications Engineering,3,A-,Fall2024
